iter	Passed	Remaining
0	32	32804
1	47	23463
2	69	23170
3	103	25843
4	130	25954
5	157	26078
6	185	26375
7	218	27040
8	249	27467
9	276	27381
10	305	27446
11	333	27488
12	358	27185
13	383	27033
14	405	26652
15	430	26466
16	463	26798
17	496	27064
18	518	26752
19	544	26670
20	569	26572
21	597	26559
22	626	26606
23	653	26588
24	671	26197
25	701	26278
26	719	25944
27	749	26029
28	776	26004
29	800	25872
30	834	26078
31	854	25833
32	881	25837
33	903	25670
34	926	25532
35	952	25512
36	976	25407
37	1001	25346
38	1017	25067
39	1043	25043
40	1075	25156
41	1103	25170
42	1134	25249
43	1164	25290
44	1208	25642
45	1252	25973
46	1278	25933
47	1306	25917
48	1332	25867
49	1360	25848
50	1382	25725
51	1399	25516
52	1430	25559
53	1457	25536
54	1484	25510
55	1512	25495
56	1539	25466
57	1568	25466
58	1591	25388
59	1619	25368
60	1644	25310
61	1674	25331
62	1698	25264
63	1726	25253
64	1756	25272
65	1775	25124
66	1801	25081
67	1814	24875
68	1829	24691
69	1860	24712
70	1890	24740
71	1912	24647
72	1937	24604
73	1958	24510
74	1986	24500
75	1996	24279
76	2023	24256
77	2035	24063
78	2060	24016
79	2089	24032
80	2105	23893
81	2132	23877
82	2143	23681
83	2163	23596
84	2186	23534
85	2214	23537
86	2235	23461
87	2247	23294
88	2267	23215
89	2293	23188
90	2309	23072
91	2340	23101
92	2370	23122
93	2400	23140
94	2429	23143
95	2440	22984
96	2454	22850
97	2479	22825
98	2493	22693
99	2520	22683
100	2533	22548
101	2563	22570
102	2582	22489
103	2610	22490
104	2625	22379
105	2653	22383
106	2678	22352
107	2707	22358
108	2732	22332
109	2757	22314
110	2785	22307
111	2811	22295
112	2837	22270
113	2862	22246
114	2897	22300
115	2927	22313
116	2952	22285
117	2977	22256
118	3004	22244
119	3029	22219
120	3055	22195
121	3084	22200
122	3104	22136
123	3142	22203
124	3167	22175
125	3192	22145
126	3224	22162
127	3248	22130
128	3275	22113
129	3302	22101
